ID,total_pop,med_wage,sqmi,pop_density,ed_2_above_req_percent,IND,NATIVITY
600112,49557,113524.928,23.57080394,2102.473896,0.180620296,1,0
600113,46861,50975.9,16.16003902,2899.807355,0.083310215,1,0
600114,80704,78501.28,27.65389915,2918.358802,0.163300456,1,0
600115,43655,69551.1,54.06548339,807.4467713,0.139113504,1,0
600116,44130,60385.6,36.47518797,1209.863539,0.137502833,1,0
600117,47603,93336.488,51.08205599,931.8927964,0.153624772,1,0
600118,52412,103281.18,31.47892462,1664.986992,0.139052125,1,0
600119,51703,119383.88,152.9054168,338.1371379,0.185076301,1,0
600120,50526,115918.5,264.8279211,190.78804,0.166963544,1,0
600121,52458,108530.8,29.89094198,1754.979821,0.162758778,1,0
600122,41510,56891.3925,27.81837665,1492.179092,0.122982414,1,0
600123,45326,60277.62,5.81623881,7793.008761,0.136345585,1,0
600300,55891,50975.9,19482.16164,2.868829498,0.113613999,1,0
600700,73806,44517.75,1677.12434,44.00747055,0.140422188,1,0
601100,39499,45674.4064,8653.081289,4.56473234,0.073267678,1,0
601301,50983,50393.06895,20.5507323,2480.83617,0.0996999,1,0
601305,55430,137634.93,156.6905512,353.7545792,0.179036623,1,0
601308,47000,56436.016,66.00237068,712.0956341,0.111191489,1,0
601309,48830,75347.025,163.3744914,298.8838685,0.097010035,1,0
601310,55560,78501.28,47.78590221,1162.686011,0.160277178,1,0
601311,50578,72462.72,76.65372051,659.8244634,0.137332437,1,0
601312,33060,137634.93,78.30171736,422.2129618,0.202177858,1,0
601313,70155,86938.875,79.95929605,877.3839124,0.173957665,1,0
601314,39321,53090.673,59.0296407,666.1229771,0.114722413,1,0
601500,34516,46367.4,18898.94136,1.826345685,0.112295747,1,0
601700,66446,69090.672,1786.353378,37.1964477,0.13987298,1,0
601901,44075,38253.105,2770.072303,15.91113703,0.066454906,1,0
601902,76267,53968.27825,53.45987346,1426.621409,0.12339544,1,0
601903,39040,37556.29225,22.67184813,1721.959312,0.086834016,1,0
601904,58363,38253.105,73.71698808,791.7170997,0.084762606,1,0
601905,39063,36231.36,39.76580317,982.3264435,0.071960679,1,0
601906,49889,65118.48,53.35505909,935.0378549,0.135540901,1,0
601907,43998,42269.92,2998.062028,14.67548022,0.084526569,1,0
602300,44974,43777.5527,3585.291547,12.54402868,0.158602748,1,0
602500,50859,40156.396,4480.625443,11.35087069,0.095912228,1,0
602903,51953,35683.13,97.55545459,532.5483872,0.068850692,1,0
602904,38089,32559.24,77.20629032,493.3406312,0.054005093,1,0
602905,55139,45111.32,5058.609285,10.90003139,0.075391284,1,0
602906,49812,37093.92,2779.071653,17.9239711,0.060045772,1,0
602907,41481,60151.562,76.60835949,541.4683238,0.101853861,1,0
602908,65938,48248.0944,75.83532314,869.4892732,0.094695017,1,0
603100,44360,42737.04,1392.188638,31.86349808,0.085211903,1,0
603300,43705,44049.03,4842.816184,9.024707596,0.097014072,1,0
603703,56561,50975.9,143.0980882,395.260347,0.073071551,1,0
603704,62653,45878.31,168.32261,372.2197511,0.069717332,1,0
603705,71276,59132.044,37.81961896,1884.630305,0.139401762,1,0
603706,53788,49859.88,27.76967624,1936.932917,0.112143973,1,0
603707,53616,38741.684,19.22827963,2788.392983,0.070464041,1,0
603708,50030,42737.04,38.84775072,1287.84805,0.122286628,1,0
603709,37994,91756.62,615.9193453,61.68664824,0.174922356,1,0
603710,71880,42269.92,39.61765026,1814.342838,0.101822482,1,0
603711,61507,57959.25,61.84895492,994.4711286,0.159250167,1,0
603712,57275,39807.849,22.54593806,2540.368906,0.094316892,1,0
603713,44957,52956.3608,24.75113242,1816.361338,0.135863158,1,0
603714,38834,56599.24,41.46002392,936.6613023,0.177911109,1,0
603715,47440,45878.31,15.22131793,3116.6815,0.113090219,1,0
603716,40712,40571.475,19.35500795,2103.434941,0.078551778,1,0
603717,70577,60385.6,28.06408477,2514.851298,0.181971464,1,0
